g_pickdate,g_dist,g_weight,g_rest
28/06/2009,304.14,38077,true
03/10/2008,870.53,23993,false
10/11/2009,931.05,33269,false
30/12/2014,270.09,2709,true
04/12/2010,146.32,8268,false
02/01/2007,233.0,9923,true
02/08/2011,765.99,30182,false
05/04/2008,721.72,6907,true
02/05/2018,518.81,11808,true
18/12/2014,106.19,23885,false
17/12/2006,533.95,4182,false
18/01/2016,926.75,5968,false
20/02/2013,667.29,8980,false
16/09/2004,71.77,13412,false
20/01/2015,783.56,22100,true
21/08/2014,503.35,27331,true
30/10/2003,113.95,24294,true
15/12/2004,193.11,34001,true
01/12/2002,87.79,24194,false
17/05/2008,758.54,12262,true
10/09/2017,926.71,13519,false
11/11/2002,915.31,7652,false
20/10/2017,959.72,37073,true
06/12/2008,848.32,37251,true
08/06/2012,467.25,27157,false
18/01/2011,516.42,1883,true
16/07/2018,358.4,2723,false
18/02/2010,647.09,24601,false
09/03/2016,999.28,25093,false
27/06/2006,472.19,34494,true
18/05/2001,705.81,9800,false
24/10/2015,398.72,11109,true
12/06/2005,124.87,20066,true
30/08/2001,135.37,25582,true
13/08/2007,297.89,25742,true
02/03/2001,356.1,19089,false
27/09/2005,88.12,27664,false
02/09/2007,590.14,21526,true
02/04/2000,739.75,3362,true
17/12/2004,802.8,12283,false
25/09/2007,773.41,31062,false
28/10/2013,867.5,17065,true
10/04/2005,978.08,2853,true
04/11/2003,661.09,34083,false
12/10/2015,559.14,37132,true
30/05/2018,319.95,25714,false
26/08/2014,179.59,7203,true
30/03/2010,777.2,13762,true
24/10/2003,802.59,13092,true
06/03/2018,652.25,16217,true
12/10/2015,661.2,7459,false
05/04/2002,180.86,30003,false
04/11/2008,533.75,8640,false
18/02/2016,929.47,23156,false
18/10/2017,557.59,12750,false
29/04/2007,63.75,36733,true
22/11/2008,263.33,23879,true
05/04/2001,214.5,37370,false
21/04/2006,380.69,33613,true
28/07/2017,308.04,27527,false
06/11/2016,232.06,37819,false
11/06/2002,708.82,31366,false
15/03/2012,565.44,33033,false
12/10/2015,673.41,27518,true
01/01/2008,192.62,26486,false
18/11/2010,521.39,13868,false
26/08/2018,768.53,20536,true
09/10/2010,792.8,22110,true
26/08/2010,104.79,4972,true
16/05/2016,72.12,39515,true
11/08/2011,924.63,37898,true
28/04/2004,525.92,4559,true
09/05/2002,939.12,24275,true
30/09/2002,314.66,15313,false
08/11/2012,579.96,23523,false
11/11/2006,938.24,30251,false
15/04/2002,97.47,3598,false
13/05/2013,540.01,18063,true
21/10/2008,488.93,37222,true
29/02/2016,305.13,14046,true
02/03/2017,210.41,33064,false
26/06/2014,892.85,14196,false
03/01/2004,235.14,36637,false
29/11/2002,734.06,11974,true
26/08/2016,669.95,2265,true
27/08/2001,402.4,1375,true
10/03/2013,574.4,20851,true
29/06/2012,267.78,16809,false
12/07/2007,434.64,2019,true
21/02/2012,481.98,766,true
13/02/2017,283.37,14843,true
13/06/2006,377.78,4992,true
11/04/2009,315.06,20236,true
08/07/2016,370.0,8018,true
22/07/2015,525.51,27051,false
09/06/2012,787.37,32910,true
13/12/2017,174.08,4246,false
03/07/2009,87.4,34069,true
11/04/2016,424.37,6350,false
16/01/2017,42.72,4845,true
09/11/2015,112.7,9567,true
25/07/2002,842.34,11972,true
14/06/2002,266.07,12761,false
23/08/2018,974.29,3211,false
18/11/2004,226.56,39722,false
05/12/2011,518.11,26075,true
29/08/2002,226.88,34918,false
30/05/2013,414.13,17683,false
07/04/2002,980.01,24035,true
29/03/2008,207.44,35177,true
19/03/2011,541.9,9055,true
14/05/2014,269.68,25523,false
26/07/2008,228.0,23475,true
23/10/2015,651.55,10323,true
09/03/2016,67.13,32357,false
05/06/2013,967.86,8522,false
18/01/2001,135.04,35431,false
16/05/2013,676.37,28434,false
08/09/2002,340.43,31043,false
21/04/2008,433.14,19635,true
26/05/2000,514.89,37468,true
30/07/2013,552.24,31157,false
06/04/2009,268.35,12312,true
08/10/2016,668.32,19222,true
03/06/2008,153.73,36410,false
05/01/2005,461.43,23002,false
13/05/2003,841.61,30264,false
07/12/2007,931.77,35970,false
26/10/2007,419.65,27605,true
14/05/2007,981.19,38370,true
03/06/2006,805.12,29795,false
15/01/2008,344.05,19309,false
19/08/2010,81.55,38621,false
23/10/2007,463.69,3013,false
16/11/2012,275.45,19508,false
18/11/2010,81.12,2474,true
08/02/2008,783.41,6556,true
25/07/2005,482.28,16099,false
19/01/2005,870.4,31580,false
02/09/2017,63.23,5055,false
22/01/2002,861.18,32456,false
30/08/2001,462.79,27422,false
10/06/2011,546.51,20947,true
25/12/2004,138.16,14899,false
24/04/2003,717.65,16194,false
04/09/2012,559.64,14216,false
10/09/2015,454.67,34924,false
28/02/2015,96.82,9299,false
29/03/2018,899.49,18145,true
11/01/2008,522.83,33492,false
27/06/2011,209.74,32767,true
25/03/2016,883.41,9582,false
20/07/2008,796.32,1885,false
05/10/2007,108.62,21846,true
11/09/2010,201.37,18502,false
07/02/2017,435.1,4819,true
24/09/2017,360.44,10962,false
20/05/2017,302.03,39507,true
17/08/2002,860.03,17538,false
21/10/2002,736.3,2024,false
09/05/2015,331.8,6743,true
03/12/2014,787.26,16612,true
04/02/2015,905.51,10501,true
25/02/2012,359.49,19841,true
06/12/2004,945.42,26246,false
23/05/2012,603.21,18023,false
06/10/2006,517.43,8448,false
22/06/2005,850.22,20611,false
27/05/2005,450.99,39363,false
26/02/2004,739.46,29035,true
24/02/2006,664.9,21052,false
05/10/2000,430.85,8604,true
26/01/2003,344.04,33574,true
02/06/2005,612.23,37616,true
14/01/2011,695.31,20802,false
25/03/2001,443.28,2121,false
03/04/2007,194.63,2742,true
29/06/2010,56.75,13455,true
09/02/2013,264.51,37874,true
12/01/2012,762.4,39722,false
18/01/2015,559.54,7986,false
12/04/2016,459.77,21684,true
30/05/2001,866.76,4908,false
24/09/2015,169.74,8315,false
05/08/2017,905.45,21814,false
30/05/2008,102.78,25568,true
12/02/2009,969.04,31961,false
18/09/2012,700.96,36954,false
12/10/2005,327.09,3147,false
23/02/2014,402.01,6143,false
